################################################################################ 
# 
# Generated by: SpyGlass Physical 
# Generated on: Thu Sep 10 04:33:35 2015 
# Hostname    : localhost.localdomain 
# Version     : 5.5.0.2 
# Module Name : openMSP430 
# Command     : report physical.wirelength -total -detail -rpt WLnets.out 
# 
################################################################################ 
Steiner Estimate 
--------------------------------------------------------------------- 
                                                NET  NUM_PINS  LENGTH 
                                  per_dout_wdog[11]         2   25.32 
                              frontend_0/rtlc_N2852         4   25.20 
                       execution_unit_0/alu_out[11]         4   25.14 
                                         irq_acc[7]         2   25.13 
        execution_unit_0/register_file_0/rtlc_N8705        15   25.09 
                              frontend_0/rtlc_N4748         5   25.06 
                   execution_unit_0/alu_out_add[12]         3   25.06 
                                        pmem_din[7]         2   25.00 
                        execution_unit_0/rtlc_N2787        12   24.96 
                                             pc[11]         4   24.95 
                        dbg_0/dbg_uart_0/rtlc_N1913         2   24.92 
                        execution_unit_0/op_dst[10]         2   24.87 
                          mem_backbone_0/rtlc_N2538         3   24.84 
                                         irq_acc[3]         2   24.74 
                                   dbg_0/cpu_ctl_wr         7   24.74 
            execution_unit_0/alu_0/op_src_in_jmp[9]         2   24.73 
                                  dbg_0/dbg_din[14]         4   24.68 
                                         cpu_id[17]         2   24.67 
                                          cpu_id[1]         2   24.62 
                                   per_dout_wdog[8]         2   24.56 
                                       pmem_din[15]         2   24.49 
                                          pc_nxt[4]         3   24.49 
                  execution_unit_0/alu_0/rtlc_N2282         4   24.46 
                                  per_dout_wdog[13]         2   24.44 
                  execution_unit_0/alu_0/rtlc_N2436        18   24.41 
                                   per_dout_wdog[1]         2   24.39 
                                       pmem_din[11]         2   24.39 
                                      dmem_dout[15]         3   24.30 
                                  dbg_0/mem_cnt[10]         4   24.28 
                                   per_dout_wdog[7]         2   24.24 
                                      dbg_mem_wr[1]         4   24.23 
            execution_unit_0/alu_0/op_src_in_jmp[8]         2   24.22 
                   execution_unit_0/alu_out_add[13]         3   24.20 
                                 clock_module_0/VSS        12   24.17 
                        execution_unit_0/rtlc_N2778         9   24.15 
        execution_unit_0/register_file_0/rtlc_N9561        13   24.08 
                               watchdog_0/rtlc_N499        17   23.99 
                                          cpu_id[3]         2   23.96 
                                    per_dout_or[15]         2   23.93 
                                         inst_as[5]         4   23.91 
                               frontend_0/rtlc_N265        17   23.86 
                  execution_unit_0/alu_0/rtlc_N2682         2   23.86 
                                      eu_mdb_in[15]         5   23.75 
                                          cpu_id[4]         2   23.72 
                                    per_dout_mpy[0]         2   23.71 
             execution_unit_0/register_file_0/r6[2]         3   23.69 
                                   dbg_0/rtlc_N3161        17   23.67 
                                       eu_mdb_in[8]         5   23.67 
  execution_unit_0/register_file_0/reg_incr_val[11]         3   23.66 
        execution_unit_0/register_file_0/rtlc_N9558        13   23.63 
   execution_unit_0/register_file_0/reg_incr_val[3]         3   23.58 
                                            wdt_irq         3   23.57 
                      dbg_0/dbg_uart_0/sync_cnt[12]         5   23.53 
                      dbg_0/dbg_uart_0/sync_cnt[13]         5   23.45 
                          mem_backbone_0/rtlc_N2650         6   23.42 
                      dbg_0/dbg_uart_0/sync_cnt[11]         5   23.41 
                        execution_unit_0/op_dst[14]         2   23.39 
                    execution_unit_0/alu_out_add[7]         3   23.30 
                                    dbg_mem_addr[8]         3   23.27 
                              multiplier_0/reslo[3]         3   23.27 
                                   dbg_0/rtlc_N3065         3   23.23 
                                        irq_acc[11]         2   23.23 
                    execution_unit_0/alu_out_add[9]         3   23.12 
                     mem_backbone_0/per_dout_val[2]         3   23.10 
                                   dbg_0/rtlc_N2792        12   23.08 
        execution_unit_0/register_file_0/rtlc_N8702        15   23.06 
           execution_unit_0/alu_0/op_src_in_jmp[10]         2   23.06 
                        execution_unit_0/rtlc_N2930        17   23.03 
                        execution_unit_0/alu_out[8]         4   22.97 
                                     per_dout_or[7]         2   22.94 
                                   dbg_0/mem_ctl[1]         7   22.93 
                        dbg_0/dbg_uart_0/rtlc_N2041        33   22.87 
                                      inst_sext[14]         3   22.86 
                            multiplier_0/rtlc_N2297         3   22.85 
                  execution_unit_0/alu_0/rtlc_N2240         4   22.84 
                        execution_unit_0/rtlc_N2920        17   22.83 
                                        pmem_din[0]         2   22.76 
                          mem_backbone_0/rtlc_N2030        15   22.72 
                                  dbg_0/mem_cnt[12]         4   22.71 
                                          pc_sw[11]         3   22.71 
                                   dbg_0/rtlc_N1537         4   22.67 
                        execution_unit_0/rtlc_N2912        17   22.60 
                                      dbg_mem_wr[0]         4   22.53 
                                          cpu_id[8]         2   22.50 
                                   per_dout_wdog[6]         2   22.48 
                          multiplier_0/reshi_nxt[3]         3   22.38 
                          mem_backbone_0/rtlc_N2652         2   22.33 
                                   dbg_0/rtlc_N2744         6   22.32 
                                     per_dout_or[3]         2   22.27 
                    mem_backbone_0/per_dout_val[10]         3   22.24 
            execution_unit_0/alu_0/op_src_in_jmp[4]         2   22.19 
                                   dbg_0/rtlc_N2796        20   22.14 
                                              wdtie         3   22.10 
                                    per_dout_or[11]         2   22.04 
                              frontend_0/ext_nxt[8]         3   22.02 
                    execution_unit_0/alu_out_add[8]         3   22.00 
                          mem_backbone_0/rtlc_N1641        14   21.96 
                        execution_unit_0/rtlc_N2783        17   21.94 
        execution_unit_0/register_file_0/rtlc_N9549        13   21.93 
                         execution_unit_0/op_src[0]         4   21.89 
                                         inst_as[4]         4   21.86 
        execution_unit_0/register_file_0/rtlc_N9425        14   21.83 
                      dbg_0/dbg_uart_0/xfer_buf[16]         5   21.81 
                                       dmem_dout[3]         3   21.77 
        execution_unit_0/register_file_0/rtlc_N9473         2   21.72 
                  execution_unit_0/alu_0/rtlc_N2482         3   21.70 
                                   dbg_0/rtlc_N2789         3   21.65 
                  execution_unit_0/alu_0/rtlc_N2260         4   21.44 
                              frontend_0/rtlc_N4734         4   21.41 
            execution_unit_0/register_file_0/r14[1]         3   21.40 
                                         eu_mab[10]         3   21.40 
                        multiplier_0/result_nxt[32]         2   21.38 
            execution_unit_0/alu_0/op_src_in_jmp[7]         2   21.38 
                         execution_unit_0/rtlc_N573         2   21.34 
                        execution_unit_0/rtlc_N2567         2   21.32 
        execution_unit_0/register_file_0/rtlc_N8693        15   21.29 
                                     dbg_reg_din[9]         2   21.20 
                                   dbg_0/rtlc_N2968         2   21.19 
                        dbg_0/dbg_uart_0/rtlc_N2023        18   21.17 
        execution_unit_0/register_file_0/rtlc_N9567        13   21.16 
             execution_unit_0/register_file_0/r6[1]         3   21.14 
                                         inst_as[6]         4   21.06 
  execution_unit_0/register_file_0/reg_incr_val[12]         3   21.05 
                        execution_unit_0/rtlc_N2928        17   21.01 
                                   dbg_0/rtlc_N3063        11   20.97 
                                         inst_so[5]         6   20.93 
                                        eu_mb_wr[0]         4   20.92 
                                          pc_sw[15]         3   20.86 
                            multiplier_0/rtlc_N2313        17   20.83 
                            multiplier_0/rtlc_N2315        17   20.83 
                          multiplier_0/reshi_nxt[1]         3   20.80 
             execution_unit_0/alu_0/alu_add_inc[12]         2   20.73 
                                     dbg_0/rtlc_N38        17   20.67 
                                             wdtifg         3   20.66 
                                    dbg_mem_din[10]         3   20.65 
                       dbg_0/dbg_uart_0/xfer_buf[9]         3   20.61 
                                   dbg_0/mem_cnt[7]         4   20.55 
                      dbg_0/dbg_uart_0/sync_cnt[14]         5   20.52 
                                   dbg_0/rtlc_N2767         4   20.50 
                                         cpu_id[19]         2   20.48 
                      dbg_0/dbg_uart_0/sync_cnt[17]         5   20.45 
                  execution_unit_0/alu_0/rtlc_N2229         7   20.44 
                                          pc_sw[13]         3   20.42 
            execution_unit_0/register_file_0/r10[4]         3   20.41 
                                   dbg_0/rtlc_N3048        16   20.36 
                        clock_module_0/puc_noscan_n        15   20.34 
                                              pc[0]         4   20.33 
                                  dbg_0/mem_addr[0]         5   20.31 
        execution_unit_0/register_file_0/rtlc_N9527        13   20.30 
        execution_unit_0/register_file_0/rtlc_N9525        13   20.30 
                  execution_unit_0/alu_0/rtlc_N2178         5   20.29 
                                 dbg_0/mem_burst_wr         3   20.25 
                        multiplier_0/product_xp[29]         2   20.20 
                                  per_dout_wdog[14]         2   20.19 
                              multiplier_0/reshi[3]         3   20.16 
                                 dbg_0/mem_addr[13]         4   20.14 
                              frontend_0/rtlc_N4578        15   20.08 
                                   per_dout_wdog[2]         2   20.06 
                       dbg_0/dbg_uart_0/sync_cnt[5]         5   20.05 
                                       pmem_din[12]         2   19.92 
                        execution_unit_0/op_dst[13]         2   19.83 
                          multiplier_0/reslo_nxt[1]         3   19.81 
            execution_unit_0/register_file_0/r13[4]         3   19.77 
                                     dbg_reg_din[8]         2   19.76 
  execution_unit_0/register_file_0/reg_incr_val[14]         3   19.69 
                       dbg_0/dbg_uart_0/sync_cnt[9]         5   19.67 
                              frontend_0/rtlc_N4613         6   19.67 
                  execution_unit_0/alu_0/rtlc_N2425         4   19.66 
                          multiplier_0/reshi_nxt[9]         3   19.64 
                          multiplier_0/reshi_nxt[5]         3   19.64 
        execution_unit_0/register_file_0/rtlc_N9579        13   19.59 
                                    per_dout_or[14]         2   19.57 
                              multiplier_0/reslo[1]         3   19.55 
        execution_unit_0/register_file_0/rtlc_N9564        13   19.50 
        execution_unit_0/register_file_0/rtlc_N9555        13   19.50 
                                          pc_sw[10]         3   19.50 
                          mem_backbone_0/rtlc_N2654         2   19.49 
                        multiplier_0/product_xp[10]         2   19.45 
                                multiplier_0/op2[3]         3   19.42 
                          multiplier_0/reslo_nxt[3]         3   19.41 
                                        pmem_din[8]         2   19.41 
                        dbg_0/dbg_uart_0/rtlc_N1679         2   19.38 
        execution_unit_0/register_file_0/rtlc_N8690        15   19.35 
                              multiplier_0/reshi[2]         3   19.31 
                                    per_dout_mpy[8]         2   19.30 
                        multiplier_0/product_xp[21]         2   19.27 
            execution_unit_0/register_file_0/r14[2]         3   19.25 
        execution_unit_0/register_file_0/rtlc_N9427         2   19.23 
        execution_unit_0/register_file_0/rtlc_N9439        14   19.17 
                                         inst_as[3]         4   19.09 
                              multiplier_0/reshi[5]         3   19.08 
                           clock_module_0/rtlc_N550         3   19.08 
                                         cpu_id[20]         2   19.04 
        execution_unit_0/register_file_0/rtlc_N9576        13   19.03 
             execution_unit_0/register_file_0/r8[1]         3   19.02 
                                    dbg_mem_addr[9]         3   18.94 
                     mem_backbone_0/per_dout_val[6]         3   18.87 
           execution_unit_0/alu_0/op_src_in_jmp[13]         2   18.86 
        execution_unit_0/register_file_0/rtlc_N9432        14   18.86 
                       dbg_0/dbg_uart_0/sync_cnt[4]         5   18.83 
        execution_unit_0/register_file_0/rtlc_N9543        13   18.77 
                              multiplier_0/reslo[5]         3   18.77 
                         multiplier_0/product_xp[5]         2   18.75 
                                   dbg_0/cpu_ctl[3]         3   18.74 
                                         inst_so[4]         4   18.73 
        execution_unit_0/register_file_0/rtlc_N9411        14   18.73 
             execution_unit_0/alu_0/alu_add_inc[14]         2   18.72 
                       execution_unit_0/reg_pc_call         2   18.72 
                              multiplier_0/reshi[1]         3   18.64 
                                      inst_sext[13]         3   18.64 
           execution_unit_0/alu_0/op_src_in_jmp[15]         2   18.60 
                              frontend_0/rtlc_N4488         2   18.60 
                                  dbg_0/mem_cnt[14]         4   18.56 
                              frontend_0/rtlc_N4846         3   18.56 
                   execution_unit_0/alu_0/rtlc_N683         3   18.56 
                              frontend_0/rtlc_N4444        18   18.54 
                                         pc_nxt[14]         3   18.53 
             execution_unit_0/register_file_0/r4[1]         3   18.50 
                                   dbg_0/rtlc_N2999         2   18.50 
                  execution_unit_0/alu_0/rtlc_N2430         9   18.49 
                         dbg_0/dbg_uart_0/sync_busy         3   18.46 
                                  per_dout_wdog[10]         2   18.41 
                                  per_dout_wdog[15]         2   18.41 
                              multiplier_0/reslo[6]         3   18.41 
                  execution_unit_0/alu_0/rtlc_N2335         2   18.40 
                       dbg_0/dbg_uart_0/sync_cnt[7]         5   18.40 
                        multiplier_0/product_xp[18]         2   18.38 
        execution_unit_0/register_file_0/rtlc_N9413         2   18.38 
                                       inst_sext[8]         3   18.36 
                          multiplier_0/reslo_nxt[0]         3   18.32 
                                   dbg_0/rtlc_N1534         5   18.32 
            execution_unit_0/alu_0/op_src_in_jmp[6]         2   18.28 
                                multiplier_0/op2[7]         3   18.25 
                              multiplier_0/reshi[9]         3   18.23 
                                      eu_mdb_out[8]         2   18.16 
                                   dbg_0/mem_cnt[1]         4   18.11 
                  execution_unit_0/alu_0/rtlc_N1763         7   18.04 
                         multiplier_0/product_xp[1]         2   18.03 
                                       eu_mdb_in[6]         2   18.01 
                                       eu_mdb_in[5]         2   17.99 
                        multiplier_0/product_xp[13]         2   17.97 
                        multiplier_0/result_nxt[31]         4   17.92 
                  execution_unit_0/alu_0/rtlc_N2209        11   17.92 
              execution_unit_0/alu_0/alu_add_inc[9]         2   17.89 
                               multiplier_0/op1[10]         3   17.88 
                                multiplier_0/op1[2]         3   17.88 
                                multiplier_0/op1[6]         3   17.88 
                               multiplier_0/op1[14]         3   17.88 
                              frontend_0/rtlc_N3906         2   17.88 
                           multiplier_0/product[17]         2   17.87 
                           multiplier_0/product[10]         2   17.87 
                           multiplier_0/product[18]         2   17.87 
                           multiplier_0/product[19]         2   17.87 
                           multiplier_0/product[20]         2   17.87 
                           multiplier_0/product[21]         2   17.87 
                           multiplier_0/product[22]         2   17.87 
                            multiplier_0/product[8]         2   17.87 
                            multiplier_0/product[3]         2   17.87 
                            multiplier_0/product[4]         2   17.87 
                            multiplier_0/product[5]         2   17.87 
                            multiplier_0/product[2]         2   17.87 
                           multiplier_0/product[11]         2   17.87 
                            multiplier_0/product[1]         2   17.87 
                           multiplier_0/product[12]         2   17.87 
                           multiplier_0/product[13]         2   17.87 
                           multiplier_0/product[14]         2   17.87 
                            multiplier_0/product[7]         2   17.87 
                            multiplier_0/product[0]         2   17.87 
                            multiplier_0/product[9]         2   17.87 
                           multiplier_0/product[15]         2   17.87 
                            multiplier_0/product[6]         2   17.87 
                           multiplier_0/product[16]         2   17.87 
        execution_unit_0/register_file_0/rtlc_N9570        13   17.87 
                              frontend_0/ext_nxt[9]         3   17.85 
        execution_unit_0/register_file_0/incr_op[1]         3   17.83 
                              frontend_0/rtlc_N4464         3   17.83 
                                             pc[14]         4   17.82 
                          multiplier_0/reshi_nxt[6]         3   17.79 
                              frontend_0/ext_nxt[3]         3   17.74 
             execution_unit_0/alu_0/alu_add_inc[15]         2   17.73 
                                      eu_mdb_in[14]         5   17.70 
                              frontend_0/ext_nxt[7]         3   17.69 
                                         dbg_reg_wr         2   17.65 
                          multiplier_0/reslo_nxt[6]         3   17.61 
                       dbg_0/dbg_uart_0/sync_cnt[3]         4   17.61 
                      dbg_0/dbg_uart_0/sync_cnt[15]         5   17.55 
                                          dbg_0/VSS        16   17.55 
                                      eu_mdb_in[13]         5   17.53 
                            multiplier_0/op1_xp[16]         2   17.53 
                         frontend_0/inst_src_bin[1]         2   17.49 
                              frontend_0/rtlc_N4628         4   17.47 
                        dbg_0/dbg_uart_0/rtlc_N1976        18   17.47 
        execution_unit_0/register_file_0/rtlc_N9552        13   17.46 
                                         cpu_id[14]         2   17.42 
                                   dbg_0/rtlc_N3050         4   17.40 
                             multiplier_0/op2_xp[8]         2   17.40 
                                         inst_as[0]         3   17.39 
                          multiplier_0/reshi_nxt[8]         3   17.38 
                                       inst_sext[3]         3   17.37 
                      dbg_0/dbg_uart_0/sync_cnt[16]         5   17.37 
                  execution_unit_0/alu_0/rtlc_N1566         3   17.33 
                         multiplier_0/product_xp[2]         2   17.32 
                                  dbg_0/mem_addr[6]         4   17.31 
                             frontend_0/ext_nxt[11]         3   17.29 
                                 dbg_0/mem_addr[12]         4   17.25 
                        multiplier_0/product_xp[17]         2   17.25 
            execution_unit_0/register_file_0/r1[12]         3   17.23 
                                      eu_mdb_in[11]         5   17.23 
                                   dbg_0/mem_cnt[3]         4   17.21 
                              frontend_0/rtlc_N4500         2   17.20 
                         multiplier_0/product_xp[6]         2   17.14 
           execution_unit_0/register_file_0/r12[12]         3   17.12 
                             multiplier_0/op2_xp[7]         2   17.12 
                             multiplier_0/op2_xp[6]         2   17.12 
                             multiplier_0/op2_xp[2]         2   17.12 
                                             pc[10]         4   17.10 
                                         pc_nxt[13]         3   17.09 
                  execution_unit_0/alu_0/rtlc_N2201         9   17.05 
            execution_unit_0/register_file_0/r10[2]         3   17.00 
                  execution_unit_0/alu_0/alu_add[5]         3   16.88 
                 execution_unit_0/alu_0/alu_add[12]         3   16.88 
                 execution_unit_0/alu_0/alu_add[11]         3   16.88 
                 execution_unit_0/alu_0/alu_add[10]         3   16.88 
                  execution_unit_0/alu_0/alu_add[9]         3   16.88 
                 execution_unit_0/alu_0/alu_add[13]         3   16.88 
                 execution_unit_0/alu_0/alu_add[14]         3   16.88 
                 execution_unit_0/alu_0/alu_add[15]         3   16.88 
                  execution_unit_0/alu_0/alu_add[8]         3   16.88 
                  execution_unit_0/alu_0/alu_add[7]         3   16.88 
                  execution_unit_0/alu_0/alu_add[6]         3   16.88 
                  execution_unit_0/alu_0/alu_add[4]         3   16.88 
                  execution_unit_0/alu_0/alu_add[3]         3   16.88 
                  execution_unit_0/alu_0/alu_add[2]         3   16.88 
                  execution_unit_0/alu_0/alu_add[1]         3   16.88 
                              frontend_0/rtlc_N4832         6   16.87 
                                       decode_noirq         4   16.86 
                                  dbg_0/mem_cnt[13]         4   16.84 
                                     per_dout_or[9]         2   16.82 
                                          eu_mab[6]         3   16.81 
             execution_unit_0/register_file_0/r4[4]         3   16.77 
                         multiplier_0/product_xp[9]         2   16.75 
             execution_unit_0/register_file_0/r9[4]         3   16.74 
        execution_unit_0/register_file_0/rtlc_N9023         2   16.72 
                        dbg_0/dbg_uart_0/rtlc_N1728         2   16.71 
                              multiplier_0/reshi[8]         3   16.70 
                        multiplier_0/product_xp[25]         2   16.69 
                                     dbg_reg_din[5]         2   16.67 
                         execution_unit_0/rtlc_N897         4   16.66 
                                   dbg_0/mem_cnt[0]         4   16.64 
                        execution_unit_0/op_src[15]         4   16.62 
                                          pc_nxt[1]         3   16.59 
                                         cpu_id[24]         2   16.57 
                         multiplier_0/reshi_nxt[13]         3   16.53 
                  execution_unit_0/alu_0/rtlc_N2193         8   16.52 
                              frontend_0/rtlc_N2948        11   16.50 
                             frontend_0/ext_nxt[10]         3   16.48 
                                   dbg_0/rtlc_N2950         2   16.43 
                          multiplier_0/reslo_nxt[5]         3   16.40 
                           multiplier_0/product[23]         3   16.39 
                             frontend_0/ext_nxt[15]         3   16.39 
                                    per_dout_clk[3]         2   16.39 
                                   dbg_0/rtlc_N2979         2   16.38 
                      dbg_0/dbg_uart_0/sync_cnt[10]         5   16.37 
                        multiplier_0/product_xp[20]         2   16.35 
                                         cpu_id[12]         2   16.34 
                                  dbg_0/mem_addr[9]         4   16.33 
                        execution_unit_0/op_dst[12]         2   16.28 
                        multiplier_0/product_xp[28]         2   16.24 
                                   dbg_0/rtlc_N3121         9   16.16 
             execution_unit_0/register_file_0/r8[2]         3   16.15 
                                     dbg_reg_din[7]         2   16.12 
                                         cpu_id[15]         2   16.11 
                              frontend_0/rtlc_N4877         7   16.11 
            execution_unit_0/register_file_0/r11[1]         3   16.10 
                        dbg_0/dbg_uart_0/rtlc_N1888         4   16.08 
                             multiplier_0/reshi[14]         3   16.07 
                                  dbg_0/mem_data[1]         4   16.06 
                                         cpu_id[27]         2   16.02 
                             multiplier_0/reslo[10]         3   15.97 
                                 dbg_0/mem_data[13]         3   15.93 
                              frontend_0/rtlc_N4554         5   15.90 
                              frontend_0/rtlc_N4630         4   15.89 
                                  dbg_0/mem_cnt[11]         4   15.87 
                                       dbg_uart_rxd         2   15.85 
                                      eu_mdb_out[1]         2   15.85 
                             multiplier_0/reslo[11]         3   15.84 
                                          cpu_id[6]         2   15.81 
   execution_unit_0/register_file_0/reg_incr_val[9]         3   15.79 
           execution_unit_0/register_file_0/r12[13]         3   15.78 
                             multiplier_0/reshi[12]         3   15.71 
                        multiplier_0/product_xp[30]         2   15.70 
                             multiplier_0/reslo[13]         3   15.69 
                        execution_unit_0/rtlc_N2816        11   15.65 
                                 dbg_0/mem_addr[14]         4   15.64 
                                 dbg_0/mem_addr[15]         4   15.64 
                              frontend_0/rtlc_N4842         3   15.64 
            execution_unit_0/register_file_0/r6[13]         3   15.63 
                                    dbg_reg_din[14]         2   15.62 
                        multiplier_0/product_xp[24]         2   15.61 
                                     per_dout_or[1]         2   15.61 
  execution_unit_0/register_file_0/reg_incr_val[10]         3   15.56 
                              frontend_0/rtlc_N4867         7   15.53 
                      dbg_0/dbg_uart_0/xfer_buf[12]         5   15.52 
                              frontend_0/rtlc_N4481         2   15.49 
                         multiplier_0/reslo_nxt[10]         3   15.43 
                                           pc_sw[9]         3   15.40 
                                    dbg_mem_addr[5]         2   15.39 
                  execution_unit_0/alu_0/rtlc_N2338         4   15.37 
                                             pc[13]         4   15.37 
                  execution_unit_0/alu_0/rtlc_N2586         2   15.35 
                          multiplier_0/reshi_nxt[2]         3   15.35 
             execution_unit_0/register_file_0/r6[4]         3   15.34 
                         multiplier_0/reslo_nxt[11]         3   15.32 
             execution_unit_0/register_file_0/r6[0]         3   15.31 
                         multiplier_0/reslo_nxt[13]         3   15.29 
                        multiplier_0/product_xp[26]         2   15.25 
                              frontend_0/rtlc_N4903         4   15.23 
                              multiplier_0/reslo[9]         3   15.22 
                                          pc_nxt[6]         3   15.20 
                                   dbg_0/rtlc_N3179        17   15.16 
                                   dbg_0/dbg_din[0]         4   15.15 
                                     per_dout_or[6]         2   15.11 
                                 dbg_0/mem_addr[10]         4   15.11 
                  execution_unit_0/alu_0/rtlc_N2195         7   15.10 
                          multiplier_0/reslo_nxt[8]         3   15.08 
                                    dbg_reg_din[15]         2   15.08 
                                   dbg_0/rtlc_N3013         2   15.07 
                        multiplier_0/product_xp[27]         2   15.07 
                                       inst_sext[9]         3   15.01 
                          multiplier_0/reslo_nxt[9]         3   14.99 
                                 dbg_0/mem_addr[11]         4   14.99 
                                  dbg_0/dbg_dout[4]         2   14.94 
                                          sfr_0/VSS        28   14.94 
                                    per_dout_sfr[0]         2   14.89 
                                   dbg_0/rtlc_N2936         4   14.86 
                                         pc_nxt[10]         3   14.85 
                              multiplier_0/reslo[2]         3   14.80 
                              frontend_0/rtlc_N4658         2   14.76 
                                   dbg_0/rtlc_N2831         5   14.74 
                                       eu_mdb_in[3]         2   14.74 
                                   dbg_0/mem_cnt[2]         4   14.74 
                              multiplier_0/reslo[0]         3   14.73 
                             multiplier_0/reshi[13]         3   14.72 
                         multiplier_0/product_xp[7]         2   14.70 
                                   dbg_0/rtlc_N2827         5   14.69 
                              multiplier_0/reslo[8]         3   14.68 
                         multiplier_0/reshi_nxt[11]         3   14.68 
                          multiplier_0/reslo_nxt[2]         3   14.66 
                                   dbg_0/rtlc_N2474         2   14.65 
                        multiplier_0/product_xp[12]         2   14.60 
            execution_unit_0/register_file_0/r1[15]         3   14.59 
             execution_unit_0/register_file_0/r5[1]         3   14.53 
                                     dbg_reg_din[0]         2   14.52 
                              frontend_0/rtlc_N4859         2   14.50 
                              multiplier_0/reshi[6]         3   14.49 
                                          sfr_0/VCC         9   14.49 
         execution_unit_0/register_file_0/rtlc_N138        17   14.40 
            execution_unit_0/register_file_0/r14[6]         3   14.38 
                              frontend_0/rtlc_N4556         5   14.36 
                               watchdog_0/wdtcnt[9]         2   14.35 
                                   dbg_0/rtlc_N2734         4   14.34 
                                  dbg_0/mem_data[4]         4   14.32 
                       dbg_0/dbg_uart_0/sync_cnt[6]         5   14.26 
                  execution_unit_0/alu_0/rtlc_N2325         2   14.21 
                                   dbg_0/rtlc_N2952         2   14.19 
             execution_unit_0/alu_0/alu_add_inc[10]         2   14.17 
                        multiplier_0/product_xp[16]         2   14.15 
                                   dbg_0/rtlc_N2963         2   14.14 
                  execution_unit_0/alu_0/rtlc_N2607         2   14.10 
                              frontend_0/rtlc_N3051         8   14.10 
                      dbg_0/dbg_uart_0/xfer_cnt[14]         3   14.09 
                         multiplier_0/product_xp[4]         2   14.07 
                  execution_unit_0/alu_0/rtlc_N2565         2   14.05 
                                   dbg_0/rtlc_N2809         3   14.03 
                                   dbg_0/rtlc_N2916         2   14.00 
                                    dbg_reg_din[10]         2   14.00 
                             multiplier_0/reshi[10]         3   14.00 
                                    per_dout_or[13]         2   13.99 
                      dbg_0/dbg_uart_0/rtlc_N45[14]         2   13.94 
                       dbg_0/dbg_uart_0/xfer_cnt[3]         3   13.94 
                        multiplier_0/product_xp[15]         2   13.92 
                                    per_dout_sfr[4]         2   13.92 
                         multiplier_0/reshi_nxt[14]         3   13.91 
                                  dbg_0/mem_addr[4]         4   13.89 
                         execution_unit_0/rtlc_N750         4   13.89 
            execution_unit_0/register_file_0/r10[1]         3   13.88 
                                          cpu_id[9]         2   13.82 
             execution_unit_0/register_file_0/r6[6]         3   13.81 
                          watchdog_0/wdtcnt_nxt[13]         3   13.81 
             execution_unit_0/register_file_0/r9[2]         3   13.81 
                        multiplier_0/product_xp[22]         2   13.78 
                                          cpu_id[2]         2   13.73 
                                  dbg_0/mem_addr[7]         4   13.73 
                                   dbg_0/rtlc_N3084        11   13.73 
           execution_unit_0/register_file_0/r14[12]         3   13.70 
            execution_unit_0/register_file_0/r4[15]         3   13.70 
                              frontend_0/rtlc_N4654         7   13.69 
                                   dbg_0/rtlc_N1977         2   13.69 
            execution_unit_0/register_file_0/r13[1]         3   13.66 
                        dbg_0/dbg_uart_0/rtlc_N1767         2   13.66 
             execution_unit_0/register_file_0/r2[0]         5   13.66 
                           frontend_0/rtlc_N1252[4]         2   13.66 
                              frontend_0/ext_nxt[0]         3   13.65 
                                dbg_0/rtlc_N197[15]         2   13.65 
            execution_unit_0/register_file_0/r12[9]         3   13.65 
                       execution_unit_0/alu_stat[1]         3   13.64 
                                         inst_ad[4]         4   13.61 
                                   dbg_0/rtlc_N2823         3   13.60 
            execution_unit_0/register_file_0/r4[12]         3   13.58 
                              frontend_0/rtlc_N4619         6   13.56 
                                          pc_nxt[3]         3   13.53 
                                      wdtifg_sw_clr         2   13.53 
                              frontend_0/rtlc_N4656         5   13.53 
                    mem_backbone_0/per_dout_val[14]         3   13.53 
                                   dbg_0/rtlc_N3072         2   13.49 
                               watchdog_0/wdtctl_wr         9   13.45 
        execution_unit_0/register_file_0/rtlc_N8717         2   13.44 
                            multiplier_0/rtlc_N2421         2   13.38 
                                         cpu_id[28]         2   13.37 
                                         cpu_id[31]         2   13.37 
                  execution_unit_0/alu_0/alu_add[0]         3   13.36 
            execution_unit_0/register_file_0/r12[3]         3   13.35 
                        execution_unit_0/rtlc_N2804         6   13.34 
                       dbg_0/dbg_uart_0/rtlc_N74[3]         2   13.34 
                          watchdog_0/wdtcnt_nxt[15]         3   13.33 
                                                por         5   13.32 
                                          pc_nxt[0]         3   13.32 
                             multiplier_0/reslo[14]         3   13.32 
                                    per_dout_or[12]         2   13.31 
                         multiplier_0/product_xp[0]         2   13.31 
                                      eu_mdb_out[9]         2   13.30 
                        multiplier_0/product_xp[14]         2   13.29 
                                          eu_mab[2]         3   13.28 
                  execution_unit_0/alu_0/rtlc_N2457         3   13.26 
             execution_unit_0/register_file_0/r1[5]         3   13.20 
                                   dbg_0/rtlc_N3011         2   13.20 
                             frontend_0/ext_nxt[12]         3   13.19 
                      dbg_0/dbg_uart_0/xfer_cnt[10]         3   13.19 
                                   dbg_0/mem_ctl[2]         6   13.18 
                                   dbg_0/rtlc_N2927         2   13.16 
                                   dbg_0/mem_cnt[9]         4   13.15 
                                         cpu_id[30]         2   13.15 
                                     per_dout_or[0]         2   13.13 
                  execution_unit_0/alu_0/rtlc_N2353         2   13.11 
                        multiplier_0/product_xp[19]         2   13.11 
