################################################################################ 
# 
# Generated by: SpyGlass Physical 
# Generated on: Thu Sep 10 04:33:35 2015 
# Hostname    : localhost.localdomain 
# Version     : 5.5.0.2 
# Module Name : openMSP430 
# Command     : report physical.wirelength -total -detail -rpt WLnets.out 
# 
################################################################################ 
Steiner Estimate 
--------------------------------------------------------------------- 
                                                NET  NUM_PINS  LENGTH 
                                       dmem_addr[5]         2   63.22 
                                        per_din[11]         6   63.14 
                                      pmem_dout[15]         4   63.09 
                                        inst_alu[5]         8   63.05 
                       execution_unit_0/reg_dest[0]         4   62.78 
                                         per_din[7]         6   62.69 
                        execution_unit_0/reg_src[6]         3   62.59 
                                      pmem_dout[10]         4   62.54 
                                        dmem_din[0]         2   61.89 
                                         inst_so[7]         5   61.79 
                                         inst_so[0]         2   61.77 
                                       pmem_dout[4]         4   61.58 
                                        dmem_din[2]         2   61.44 
                        dbg_0/dbg_uart_0/rtlc_N1841        75   61.28 
                                       fe_mdb_in[6]         6   61.19 
                               dbg_0/dbg_uart_0/VCC        91   61.15 
                                           smclk_en         3   61.14 
                               frontend_0/rtlc_N366        18   60.84 
        execution_unit_0/register_file_0/rtlc_N9161        11   60.44 
                                              pc[6]         4   60.44 
                                         inst_so[3]        10   60.19 
                                       per_dout[14]         2   60.13 
                                        irq_acc[10]         3   59.82 
                                       fe_mdb_in[5]         8   59.77 
                                              pc[2]         4   59.75 
                                       pmem_dout[6]         4   59.74 
                        execution_unit_0/reg_src[4]         3   59.73 
                                       fe_mdb_in[3]         7   59.64 
                        execution_unit_0/reg_src[1]         3   59.60 
                                        per_dout[6]         2   59.57 
             execution_unit_0/register_file_0/r2[1]         5   59.50 
                                      fe_mdb_in[14]         6   59.41 
                                       per_dout[10]         2   59.29 
                                       dmem_din[12]         2   59.10 
                                      fe_mdb_in[15]         6   59.04 
                                          lfxt_wkup         2   58.94 
                       execution_unit_0/alu_stat[3]         2   58.78 
                                            reset_n         2   58.59 
                              frontend_0/rtlc_N4466         7   58.30 
                                       fe_mdb_in[7]         8   58.19 
                                             pc[12]         4   58.14 
                      execution_unit_0/reg_dest[14]         4   58.01 
                                       inst_alu[10]        20   57.86 
                                      fe_mdb_in[10]         7   57.85 
                                       dmem_din[13]         2   57.32 
                                        per_dout[2]         2   57.16 
                                          dbg_0/VCC        68   56.62 
                                        inst_alu[8]         3   56.50 
                                   dbg_0/rtlc_N2720        68   56.46 
                              frontend_0/rtlc_N2838         3   56.40 
                                       pmem_dout[7]         4   56.38 
                                              pc[4]         4   56.22 
                         dbg_0/dbg_uart_0/rtlc_N201        22   56.16 
             execution_unit_0/register_file_0/r2[2]         5   56.10 
                        execution_unit_0/reg_src[2]         3   56.00 
                                       fe_mdb_in[9]         8   55.93 
                                       pmem_dout[3]         4   55.76 
                         execution_unit_0/rtlc_N304        10   55.62 
                                         dbg_freeze         3   55.51 
                                       inst_dest[2]        10   55.36 
                              frontend_0/rtlc_N4505        13   55.18 
                                           dco_wkup         2   55.10 
                                        per_addr[1]        13   54.51 
                                      fe_mdb_in[13]         7   54.35 
                                           pc_sw_wr        10   54.30 
                                        dmem_din[4]         2   53.99 
                                       pmem_dout[0]         4   53.95 
        execution_unit_0/register_file_0/rtlc_N8696        15   53.92 
                      execution_unit_0/reg_dest[10]         4   53.92 
                       execution_unit_0/reg_src[12]         3   53.90 
                         execution_unit_0/op_dst[5]         5   53.84 
                                            nmi_pnd         4   53.73 
                                        dmem_din[8]         2   53.69 
                       execution_unit_0/reg_src[15]         3   53.66 
                                                VSS        32   53.37 
                                    dbg_mem_dout[0]         4   53.32 
                                       dmem_din[14]         2   53.25 
                        execution_unit_0/alu_out[5]         7   53.03 
                                            nmi_acc         3   52.96 
                                            dco_clk         7   52.60 
                    execution_unit_0/alu_out_add[1]         3   52.46 
                         execution_unit_0/op_dst[4]         5   52.32 
                                         irq_acc[2]         2   52.17 
                        execution_unit_0/reg_src[3]         3   51.99 
                                       dmem_dout[9]         3   51.96 
                                         irq_acc[6]         2   51.92 
                                        dmem_wen[1]         2   51.91 
                                             irq[2]         4   51.86 
        execution_unit_0/register_file_0/rtlc_N8677         7   51.58 
                                              pc[1]         4   51.57 
                                    dbg_mem_dout[9]         4   51.53 
                         execution_unit_0/op_dst[2]         5   51.49 
                         execution_unit_0/op_dst[6]         5   51.14 
                       execution_unit_0/reg_dest[6]         4   51.08 
                                        dmem_din[7]         2   50.92 
                                           dmem_cen         2   50.77 
                                                nmi         2   50.77 
                                       dmem_dout[1]         3   50.75 
                                        dmem_wen[0]         2   50.72 
                                       dmem_addr[3]         2   50.63 
                                            irq[10]         3   50.62 
                                             irq[6]         3   50.56 
                                        dmem_din[3]         2   50.54 
                       execution_unit_0/reg_dest[4]         4   50.48 
                                      fe_mdb_in[12]         6   50.48 
                                     dbg_mem_din[8]         3   50.26 
                                        pmem_wen[1]         2   49.82 
                                   dbg_0/dbg_rd_rdy        22   49.69 
        execution_unit_0/register_file_0/rtlc_N8684        15   49.65 
                         execution_unit_0/op_src[8]         4   49.61 
                       execution_unit_0/reg_src[11]         3   49.43 
                              frontend_0/irq_num[2]         4   49.38 
                                      dmem_dout[14]         3   49.19 
                       execution_unit_0/reg_dest[2]         4   49.10 
                    execution_unit_0/alu_out_add[6]         3   49.08 
                         execution_unit_0/op_dst[1]         5   48.99 
                                       fe_mdb_in[4]         6   48.72 
                                       dmem_din[15]         2   48.70 
                      execution_unit_0/reg_dest[12]         4   48.51 
                                       pmem_addr[2]         2   48.18 
                                    dbg_mem_dout[8]         4   47.85 
                                     dbg_mem_din[3]         2   47.76 
                    execution_unit_0/alu_out_add[5]         3   47.60 
                                       pmem_addr[1]         2   47.60 
                                       per_dout[15]         2   47.53 
                                       fe_mdb_in[8]         8   47.44 
                                        pmem_wen[0]         2   47.44 
                          mem_backbone_0/rtlc_N2461        24   47.34 
        execution_unit_0/register_file_0/rtlc_N8675        12   47.28 
                                              pc[3]         4   47.24 
                                       inst_type[1]        13   47.18 
                      execution_unit_0/reg_dest[13]         4   47.17 
                                   dbg_0/mem_ctl[3]         7   47.11 
                                     dbg_mem_din[9]         3   46.88 
        execution_unit_0/register_file_0/rtlc_N9466         2   46.72 
                                           lfxt_clk         2   46.34 
                                     dbg_mem_din[7]         2   46.32 
                                       dmem_dout[5]         3   46.27 
                                              pc[8]         4   46.17 
                        execution_unit_0/alu_out[9]         4   46.10 
                                        per_addr[5]         6   46.02 
                    mem_backbone_0/eu_mdb_in_sel[0]        17   46.01 
                                   dbg_mem_dout[15]         4   46.00 
                    execution_unit_0/alu_out_add[4]         3   45.98 
                       execution_unit_0/reg_dest[3]         4   45.63 
                                    dbg_mem_din[11]         3   45.58 
                                           fe_mb_en         2   45.41 
                                       pmem_addr[5]         2   45.35 
                                       dmem_din[11]         2   45.17 
                                       per_addr[13]         6   45.15 
                                        inst_alu[9]         2   45.07 
                      dbg_0/dbg_uart_0/xfer_buf[18]         6   45.04 
                                        inst_alu[3]         2   44.93 
                            multiplier_0/rtlc_N2255        71   44.85 
                                       fe_mdb_in[2]         6   44.83 
                                      dmem_dout[13]         3   44.50 
                    execution_unit_0/alu_out_add[3]         3   44.49 
                  mem_backbone_0/dbg_mem_din_sel[0]        17   44.43 
                                         e_state[3]        10   44.42 
                                         e_state[1]        10   44.41 
                        execution_unit_0/alu_out[7]         7   44.40 
                                        inst_alu[2]         2   44.40 
                                        per_addr[9]         6   44.37 
                              frontend_0/rtlc_N4472         4   44.34 
                                         e_state[2]         8   44.21 
                       execution_unit_0/reg_dest[1]         4   44.18 
                   execution_unit_0/alu_out_add[10]         3   44.04 
                                              pc[5]         4   44.01 
                                          fe_mab[1]         3   43.73 
                                       inst_type[0]         8   43.54 
                    execution_unit_0/alu_out_add[0]         5   43.47 
                                    dbg_mem_dout[7]         4   43.47 
                                       pmem_addr[6]         2   43.45 
                         execution_unit_0/op_dst[7]         5   43.40 
                       execution_unit_0/alu_out[14]         4   43.39 
                              frontend_0/rtlc_N4477         4   43.19 
                                   multiplier_0/VCC        70   43.12 
                       execution_unit_0/reg_src[10]         3   43.09 
                                   dbg_mem_dout[10]         4   42.85 
                                       pmem_addr[7]         2   42.81 
                                        inst_alu[1]         2   42.79 
                                           eu_mb_en         4   42.78 
                                    dbg_mem_addr[3]         3   42.73 
                                   dbg_mem_dout[11]         4   42.72 
                                       pmem_din[10]         2   42.69 
                                   dbg_mem_dout[12]         4   42.62 
                        execution_unit_0/reg_src[0]         3   42.62 
                                       fe_mdb_in[1]         7   42.60 
                                 mem_backbone_0/VCC        38   42.44 
                          mem_backbone_0/rtlc_N2363        17   42.35 
                                    dbg_mem_addr[2]         3   42.33 
                              frontend_0/rtlc_N4468        13   42.33 
                          mem_backbone_0/rtlc_N2353        39   42.31 
                  execution_unit_0/alu_0/rtlc_N2205        12   42.27 
                          mem_backbone_0/rtlc_N2457        25   42.26 
                                    dbg_mem_dout[1]         4   42.19 
                        execution_unit_0/reg_src[8]         3   42.14 
                        execution_unit_0/op_src[12]         4   42.10 
                                       pmem_addr[9]         2   42.09 
                        execution_unit_0/rtlc_N2696        20   42.03 
                                        per_dout[7]         2   42.02 
